image_id,points
img_00000.png,"[[112.94566345214844, 76.94658660888672], [412.0498962402344, 60.59130859375], [591.5828857421875, 66.01118469238281], [375.52777099609375, 434.116455078125]]"
img_00001.png,"[[161.79769897460938, 78.9156494140625], [600.15625, 117.75625610351562], [242.87429809570312, 300.96630859375], [363.3994140625, 287.9964599609375]]"
img_00002.png,"[[505.40911865234375, 336.9132385253906], [499.976806640625, 188.9989776611328], [57.60752868652344, 416.5033874511719], [183.12774658203125, 415.3978271484375], [208.30718994140625, 207.7116851806641]]"
img_00003.png,"[[176.78314208984375, 217.61941528320312], [416.7184448242188, 52.7130241394043], [168.1659698486328, 418.39068603515625], [487.37298583984375, 261.2198181152344]]"
img_00004.png,"[[269.4112548828125, 126.20919799804688], [95.8302764892578, 77.07833862304688]]"
img_00005.png,"[[426.5823669433594, 421.47998046875], [190.5678558349609, 417.25439453125]]"
img_00006.png,"[[337.1162414550781, 87.05889892578125], [168.38255310058594, 335.088623046875], [315.477294921875, 412.947509765625], [172.43748474121094, 170.8088836669922], [528.0138549804688, 104.82405090332033], [49.09935760498047, 177.28453063964844]]"
img_00007.png,"[[490.628662109375, 388.5613403320313], [103.4679946899414, 315.0663452148437], [430.57763671875, 158.92312622070312], [312.7420959472656, 373.2614440917969]]"
img_00008.png,"[[563.5982666015625, 331.44073486328125], [406.8628540039063, 111.61407470703124]]"
img_00009.png,"[[465.5942993164063, 140.13760375976562], [493.2412109375, 405.12249755859375], [53.887542724609375, 97.3861083984375], [340.8131103515625, 375.4351196289063]]"
img_00010.png,"[[581.101318359375, 83.92958068847656], [290.2213439941406, 75.93070983886719], [69.7524642944336, 438.9041137695313]]"
img_00011.png,"[[377.7514343261719, 263.640380859375]]"
img_00012.png,"[[497.24749755859375, 119.91241455078124], [162.02801513671875, 179.00531005859375], [533.9492797851562, 328.409912109375]]"
img_00013.png,"[[252.48443603515625, 151.18247985839844], [495.3624877929688, 97.56355285644533]]"
img_00014.png,"[[62.982566833496094, 136.9222412109375], [571.5967407226562, 388.755615234375]]"
img_00015.png,"[[128.25424194335938, 398.88427734375]]"
img_00016.png,"[[492.9423828125, 218.0106506347656], [505.0301513671875, 411.1392822265625]]"
img_00017.png,"[[85.34645080566406, 354.63970947265625], [556.6195068359375, 177.0775604248047], [543.7962036132812, 317.72882080078125]]"
img_00018.png,"[[545.6927490234375, 261.4926147460937], [583.18310546875, 107.88357543945312], [547.3133544921875, 382.12109375]]"
img_00019.png,"[[129.43630981445312, 395.3961791992188], [365.8224182128906, 249.4638671875], [521.144775390625, 40.606781005859375], [561.53271484375, 189.84298706054688]]"
img_00020.png,"[[124.12873840332033, 382.7945861816406]]"
img_00021.png,"[[384.8057556152344, 393.3117065429688], [163.60540771484375, 174.1835174560547], [535.5296020507812, 327.75982666015625]]"
img_00022.png,"[[576.0587158203125, 153.97206115722656], [53.19109344482422, 413.719970703125], [61.08198547363281, 177.95809936523438], [599.264404296875, 431.8225402832031], [67.23799896240234, 311.4234619140625], [210.6182556152344, 347.7465209960937], [314.7318115234375, 241.30657958984372]]"
img_00023.png,"[[137.5911407470703, 383.8029174804688], [283.3441772460937, 410.15765380859375]]"
img_00024.png,"[[324.77734375, 272.9721984863281]]"
img_00025.png,"[[116.6588134765625, 298.7571105957031], [273.05047607421875, 192.070068359375], [50.1313362121582, 112.19906616210938], [515.3826293945312, 157.103271484375]]"
img_00026.png,"[[338.549072265625, 376.2031555175781], [101.07247924804688, 133.75933837890625], [545.7303466796875, 161.01573181152344], [489.9627685546875, 360.691162109375]]"
img_00027.png,"[[571.4164428710938, 368.37896728515625], [288.7886962890625, 127.97232818603516], [513.9356689453125, 165.44728088378906]]"
img_00028.png,"[[553.8099365234375, 144.563232421875], [70.70930480957031, 421.4103393554688]]"
img_00029.png,"[[197.3436584472656, 341.8794250488281], [407.15472412109375, 400.2003784179688]]"
img_00030.png,"[[283.0986328125, 237.67703247070312], [309.64581298828125, 416.05120849609375], [509.5465698242188, 239.72543334960935]]"
img_00031.png,"[[162.57559204101562, 192.4093017578125], [477.9924621582031, 181.5755920410156]]"
img_00032.png,"[[52.89933013916016, 85.7607421875], [582.0843505859375, 223.71983337402344], [593.8782958984375, 318.3271484375], [584.314697265625, 423.5711669921875]]"
img_00033.png,"[[129.31170654296875, 352.6605224609375], [364.9087524414063, 321.03759765625]]"
img_00034.png,"[[606.4796142578125, 76.23381042480469], [241.1986846923828, 254.02566528320312]]"
img_00035.png,"[[134.12557983398438, 362.2319946289063]]"
img_00036.png,"[[151.107666015625, 240.0065460205078], [413.5557861328125, 52.87504959106445]]"
img_00037.png,"[[348.260009765625, 93.39622497558594], [603.2380981445312, 263.4291687011719]]"
img_00038.png,"[[571.3333129882812, 186.04583740234372], [575.289794921875, 353.6285400390625], [297.6727905273437, 241.93814086914065]]"
img_00039.png,"[[529.2427978515625, 289.1692199707031]]"
img_00040.png,"[[333.7403564453125, 185.77493286132807]]"
img_00041.png,"[[339.0097961425781, 319.9652099609375], [143.55474853515625, 276.5981750488281]]"
img_00042.png,"[[537.9531860351562, 375.4959411621094], [162.21206665039062, 228.11865234375]]"
img_00043.png,"[[475.6390380859375, 114.58272552490234], [181.64962768554688, 289.5098571777344], [347.7158203125, 68.7135009765625]]"
img_00044.png,"[[564.7080078125, 399.2493286132813], [494.2159423828125, 75.41563415527344]]"
img_00045.png,"[[316.5195617675781, 214.596435546875]]"
img_00046.png,"[[395.35986328125, 109.27622985839844], [499.66009521484375, 245.4362945556641], [131.18814086914062, 281.19097900390625]]"
img_00047.png,"[[411.41302490234375, 49.18891143798828], [562.293212890625, 208.8074951171875], [542.0626220703125, 318.2364501953125]]"
img_00048.png,"[[446.81103515625, 204.43228149414065], [156.62449645996094, 275.63702392578125], [112.40664672851562, 376.5650024414063]]"
img_00049.png,"[[218.60235595703125, 64.56141662597656], [120.6272430419922, 409.1022338867188]]"
img_00050.png,"[[519.2866821289062, 208.0280303955078], [139.4505615234375, 315.9405517578125], [400.2550659179688, 74.67555236816406]]"
img_00051.png,"[[400.74066162109375, 236.62066650390625], [112.5880889892578, 317.7808837890625], [157.25628662109375, 131.1016082763672], [473.6745910644531, 63.66484832763672], [579.85400390625, 264.0426025390625], [296.6033935546875, 40.12963104248047]]"
img_00052.png,"[[210.7179718017578, 150.70626831054688], [511.6349182128906, 411.795654296875], [80.14710998535156, 384.9314270019531], [324.2408752441406, 356.87091064453125], [578.139404296875, 247.62350463867188], [480.3709106445313, 122.84674072265624], [83.48501586914062, 165.81045532226562]]"
img_00053.png,"[[464.79052734375, 201.480712890625], [261.3724365234375, 230.6422271728516], [133.8232879638672, 92.37444305419922], [448.6850280761719, 386.1087646484375], [257.4045715332031, 401.35107421875]]"
img_00054.png,"[[519.123046875, 185.7635803222656], [437.9546508789063, 400.66741943359375], [174.66729736328125, 175.435546875]]"
img_00055.png,"[[70.24992370605469, 258.7219543457031], [498.1087646484375, 253.7458648681641], [84.95612335205078, 399.9623718261719], [522.1875610351562, 106.300048828125]]"
img_00056.png,"[[552.5673828125, 107.52969360351562]]"
img_00057.png,"[[125.13702392578124, 115.23860931396484], [383.7887268066406, 293.2957458496094]]"
img_00058.png,"[[113.1007308959961, 96.7408447265625]]"
img_00059.png,"[[291.2911376953125, 192.1310577392578], [272.1395263671875, 400.8240356445313], [95.96690368652344, 204.56309509277344]]"
img_00060.png,"[[102.8198699951172, 233.56411743164065], [109.6324691772461, 63.46226119995117]]"
img_00061.png,"[[54.222900390625, 220.8353576660156], [544.388916015625, 419.7369689941406], [58.18055725097656, 343.2145690917969]]"
img_00062.png,"[[316.1576232910156, 235.0633544921875], [503.11669921875, 306.1683349609375], [66.60881805419922, 86.46774291992188]]"
img_00063.png,"[[597.4719848632812, 279.48541259765625], [128.2731170654297, 238.6945343017578]]"
img_00064.png,"[[128.0511474609375, 402.1328125]]"
img_00065.png,"[[62.81569290161133, 297.1102294921875], [487.7791748046875, 375.6399230957031]]"
img_00066.png,"[[367.5845336914063, 245.7955474853516], [455.26116943359375, 419.0940551757813], [146.29644775390625, 131.097412109375]]"
img_00067.png,"[[481.68560791015625, 354.3392028808594], [253.67660522460935, 122.62449645996094]]"
img_00068.png,"[[378.952392578125, 274.83135986328125], [229.81915283203125, 72.74845886230469]]"
img_00069.png,"[[316.2731018066406, 193.011962890625], [89.4710693359375, 163.83773803710938], [575.807861328125, 414.76263427734375]]"
img_00070.png,"[[222.7239990234375, 95.47270965576172], [128.65956115722656, 317.3869323730469]]"
img_00071.png,"[[64.7403793334961, 65.74275207519531], [570.3065795898438, 136.8209686279297], [422.0305786132813, 158.39486694335938]]"
img_00072.png,"[[449.9578552246094, 412.7176513671875], [271.9397888183594, 406.8681640625], [461.607421875, 222.29293823242188], [503.5431213378906, 222.80435180664065]]"
img_00073.png,"[[303.47296142578125, 399.8541564941406], [273.1893920898437, 111.96360778808594], [551.8519287109375, 219.2239990234375], [467.6139831542969, 427.26605224609375]]"
img_00074.png,"[[337.40008544921875, 98.00979614257812], [174.2860107421875, 365.7775268554688], [538.8939819335938, 236.99545288085935], [120.34716033935548, 105.70954132080078], [312.8781433105469, 415.8067626953125]]"
img_00075.png,"[[140.72486877441406, 380.5704345703125], [395.3302001953125, 356.8807373046875], [579.5376586914062, 63.57758331298828], [399.08831787109375, 178.89419555664062], [260.9877624511719, 364.13385009765625]]"
img_00076.png,"[[73.59739685058594, 118.84698486328124], [589.755859375, 334.8284912109375], [105.629638671875, 258.28564453125]]"
img_00077.png,"[[539.844482421875, 80.74874114990234], [246.76954650878903, 239.71920776367188]]"
img_00078.png,"[[577.702392578125, 378.090576171875], [573.2284545898438, 292.181396484375]]"
img_00079.png,"[[101.65198516845705, 72.55899047851562], [104.14982604980467, 360.62255859375], [446.9471435546875, 418.79632568359375], [165.00994873046875, 187.54498291015625]]"
img_00080.png,"[[99.16363525390624, 82.24851989746094], [221.47799682617188, 345.1923217773437], [51.99762725830078, 412.0638427734375]]"
img_00081.png,"[[569.5267333984375, 305.68817138671875], [339.8078308105469, 409.0169677734375]]"
img_00082.png,"[[521.732421875, 258.464111328125]]"
img_00083.png,"[[88.16629791259766, 84.74673461914062], [558.2852783203125, 113.77682495117188], [580.06201171875, 278.1012268066406], [87.57394409179688, 201.43006896972656]]"
img_00084.png,"[[578.655517578125, 226.42330932617188], [404.2650146484375, 222.6502990722656], [244.02134704589844, 305.969970703125], [84.29841613769531, 263.6683959960937], [478.0732727050781, 74.47634887695312]]"
img_00085.png,"[[425.328369140625, 423.9235229492188], [246.45208740234372, 414.7364196777344], [297.5751953125, 176.1002960205078]]"
img_00086.png,"[[571.2620239257812, 133.4987030029297], [394.9907836914063, 46.5826416015625]]"
