image_id,points
img_00000.png,"[[112.59764099121094, 77.2665786743164], [591.456787109375, 66.632080078125], [375.3521728515625, 433.6111450195313], [412.2479248046875, 60.494384765625]]"
img_00001.png,[]
img_00002.png,"[[505.2852783203125, 336.7789611816406], [500.1398315429688, 188.9868621826172], [57.78857421875, 416.6962585449219], [182.95944213867188, 415.4927062988281], [167.39154052734375, 198.7346954345703]]"
img_00003.png,"[[177.54556274414062, 217.74122619628903], [486.78607177734375, 260.2084350585937], [168.38241577148438, 418.5772705078125], [416.9422607421875, 53.623138427734375]]"
img_00004.png,"[[448.45306396484375, 159.57626342773438], [463.8633728027344, 290.27032470703125], [223.8080139160156, 326.84161376953125]]"
img_00005.png,"[[426.43267822265625, 421.2521667480469], [190.71463012695312, 417.4614868164063]]"
img_00006.png,"[[315.2457275390625, 413.5103759765625], [336.9797058105469, 87.9738540649414], [168.06117248535156, 335.578857421875], [171.66943359375, 169.8186492919922], [527.482421875, 105.02381896972656], [48.72225570678711, 199.4857940673828], [47.949249267578125, 176.3273468017578]]"
img_00007.png,[]
img_00008.png,"[[406.8642272949219, 111.71625518798828], [564.08837890625, 331.0097045898437]]"
img_00009.png,"[[143.53895568847656, 278.069091796875], [150.31024169921875, 94.7234878540039]]"
img_00010.png,"[[581.236572265625, 83.58537292480469], [290.0588684082031, 75.94450378417969], [70.02998352050781, 439.6505737304688]]"
img_00011.png,"[[284.733154296875, 240.96237182617188]]"
img_00012.png,"[[497.90472412109375, 120.73841094970705], [161.6074981689453, 180.41986083984372], [533.77197265625, 328.6909484863281]]"
img_00013.png,"[[253.21371459960935, 150.79110717773438], [496.64739990234375, 97.7394561767578]]"
img_00014.png,"[[62.43377685546875, 137.10498046875], [571.7637939453125, 386.9874572753906]]"
img_00015.png,"[[128.7471466064453, 398.4771728515625]]"
img_00016.png,"[[492.7693176269531, 217.70046997070312], [504.9788208007813, 411.4260864257813]]"
img_00017.png,"[[85.47047424316406, 354.761474609375], [543.1448974609375, 318.2243957519531], [556.0592041015625, 177.458984375]]"
img_00018.png,"[[583.1719970703125, 108.5496597290039], [545.0650024414062, 261.2357177734375], [546.616943359375, 382.3126831054688]]"
img_00019.png,"[[365.1919860839844, 249.6265563964844], [520.83203125, 40.76190185546875], [561.424072265625, 190.3798828125], [129.60177612304688, 395.13665771484375]]"
img_00020.png,[]
img_00021.png,"[[384.19927978515625, 393.2755737304688], [163.2582550048828, 174.1932830810547], [535.29931640625, 327.8948669433594]]"
img_00022.png,"[[576.435791015625, 153.80886840820312], [53.329689025878906, 413.8063659667969], [598.944091796875, 431.09906005859375], [60.94947052001953, 177.96133422851562], [67.14833068847656, 311.12957763671875], [314.5981750488281, 224.80435180664065]]"
img_00023.png,"[[283.1826171875, 410.4674377441406], [137.4747314453125, 384.1710815429688]]"
img_00024.png,"[[325.187744140625, 273.1182861328125]]"
img_00025.png,"[[273.0508728027344, 192.2018585205078], [116.02071380615234, 298.6474914550781], [49.92231369018555, 112.5293426513672], [516.3958740234375, 157.01092529296875]]"
img_00026.png,"[[338.3627319335937, 375.5581665039063], [101.05648803710938, 132.86160278320312], [489.4117431640625, 360.96136474609375], [545.242431640625, 159.93344116210938]]"
img_00027.png,[]
img_00028.png,"[[70.18988037109375, 421.5709838867188], [553.9453125, 145.0187530517578]]"
img_00029.png,"[[197.1100311279297, 342.052978515625], [407.41546630859375, 400.1588439941406]]"
img_00030.png,"[[509.0152893066406, 239.67837524414065], [309.1605834960937, 415.89947509765625]]"
img_00031.png,"[[162.75082397460938, 194.62762451171875], [459.0650024414063, 187.479248046875]]"
img_00032.png,"[[53.053985595703125, 85.78785705566406], [584.167236328125, 424.015869140625], [581.99658203125, 223.61231994628903], [593.8028564453125, 318.5477294921875]]"
img_00033.png,"[[129.21011352539062, 348.7453918457031], [363.953125, 318.6959228515625]]"
img_00034.png,"[[606.5361328125, 75.96218872070312], [240.93499755859372, 255.4693298339844]]"
img_00035.png,[]
img_00036.png,"[[150.80335998535156, 240.1859436035156], [413.4749145507813, 53.023075103759766]]"
img_00037.png,[]
img_00038.png,"[[47.849586486816406, 358.589599609375], [42.48986053466797, 40.546085357666016]]"
img_00039.png,"[[529.0076293945312, 289.838623046875]]"
img_00040.png,"[[333.53985595703125, 185.38449096679688]]"
img_00041.png,"[[338.7079162597656, 319.69677734375], [143.0761260986328, 278.45184326171875]]"
img_00042.png,"[[512.3861694335938, 125.39028930664062]]"
img_00043.png,"[[347.6545715332031, 68.60011291503906], [475.4054565429688, 114.8320770263672], [181.0313873291016, 290.3505249023437]]"
img_00044.png,"[[244.58468627929688, 257.67138671875], [238.53707885742188, 437.605224609375]]"
img_00045.png,[]
img_00046.png,"[[395.39398193359375, 109.40624237060548], [499.6264953613281, 245.71392822265625], [132.93951416015625, 287.98016357421875]]"
img_00047.png,"[[411.670654296875, 50.10934448242188], [542.2159423828125, 318.1313171386719], [562.1681518554688, 208.19241333007807]]"
img_00048.png,"[[447.6878051757813, 204.5145568847656], [156.61752319335938, 276.13848876953125], [112.67292022705078, 376.6570739746094]]"
img_00049.png,"[[218.80523681640625, 64.65846252441406], [120.67796325683594, 409.3868103027344]]"
